nm_unidade_padronizada;final
INOVAÇÃO;INOVAÇÃO
UNIDADE ACESSO A MERCADO E SERVIÇOS FINANCEIROS;ACESSO A MERCADO E SERVIÇOS FINANCEIROS
RELACIONAMENTO COM CLIENTE;RELACIONAMENTO COM CLIENTE
ADMINISTRAÇÃO;ADMINISTRAÇÃO
DESENVOLVIMENTO SETORIAL E TERRITORIAL;DESENVOLVIMENTO SETORIAL E TERRITORIAL
ATENDIMENTO AO CLIENTE;ATENDIMENTO AO CLIENTE
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS (UNIDADE);DAF
DIRETORIA TÉCNICA (UNIDADE);DITEC
ER ALTO TIETÊ;ALTO TIETÊ
ER ARAÇATUBA;ARAÇATUBA
ER ARARAQUARA;ARARAQUARA
ER BAIXADA SANTISTA;BAIXADA SANTISTA
ER BARRETOS;BARRETOS
ER BAURU;BAURU
ER BOTUCATU;BOTUCATU
ER CAMPINAS;CAMPINAS
ER CAPITAL CENTRO;CAPITAL CENTRO
ER CAPITAL LESTE;CAPITAL LESTE
ER CAPITAL LESTE II;CAPITAL LESTE II
ER CAPITAL NORTE;CAPITAL NORTE
ER CAPITAL OESTE;CAPITAL OESTE
ER CAPITAL SUL;CAPITAL SUL
ER FRANCA;FRANCA
ER GRANDE ABC;GRANDE ABC
ER GUARATINGUETÁ;GUARATINGUETÁ
ER GUARULHOS;GUARULHOS
ER JUNDIAÍ;JUNDIAÍ
ER MARÍLIA;MARÍLIA
ER OSASCO;OSASCO
ER OURINHOS;OURINHOS
ER PIRACICABA;PIRACICABA
ER PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
ER RIBEIRÃO PRETO;RIBEIRÃO PRETO
ER SÃO CARLOS;SÃO CARLOS
ER SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA
ER SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
ER SÃO JOSÉ DOS CAMPOS;SÃO JOSÉ DOS CAMPOS
ER SOROCABA;SOROCABA
ER SUDOESTE PAULISTA;SUDOESTE PAULISTA
ER VALE DO RIBEIRA;VALE DO RIBEIRA
ER VOTUPORANGA;VOTUPORANGA
FACULDADE SEBRAE;FACULDADE SEBRAE
OUVIDORIA;OUVIDORIA
PRESIDÊNCIA DO CDE (UNIDADE);CDE
SUPERINTENDÊNCIA (UNIDADE);SUPERINTENDÊNCIA
AUDITORIA;AUDITORIA
CULTURA EMPREENDEDORA;CULTURA EMPREENDEDORA
FINANÇAS E CONTROLADORIA;FINANÇAS E CONTROLADORIA
GESTÃO DE PESSOAS;GESTÃO DE PESSOAS
GESTÃO DE SOLUÇÕES E TRANSFORMAÇÃO DIGITAL;GESTÃO DE SOLUÇÕES E TRANSFORMAÇÃO DIGITAL
GESTÃO ESTRATÉGICA;GESTÃO ESTRATÉGICA
INFRAESTRUTURA DA INFORMAÇÃO;INFRAESTRUTURA DA INFORMAÇÃO
JURÍDICO E SECRETARIA GERAL;JURÍDICO E SECRETARIA GERAL
MARKETING E COMUNICAÇÃO;MARKETING E COMUNICAÇÃO
POLÍTICAS PÚBLICAS E RELAÇÕES INSTITUCIONAIS;POLÍTICAS PÚBLICAS E RELAÇÕES INSTITUCIONAIS
SUPRIMENTOS;SUPRIMENTOS
SECRETARIA DO CDE;CDE
UNIDADE DE COMPLIANCE E PROTEÇÃO DE DADOS;COMPLIANCE E PROTEÇÃO DE DADOS
UNIDADE PROJETOS E OBRAS;UNIDADE PROJETOS E OBRAS
